Total Population,White Alone,Black or African American Alone,American Indian and Alaska Native Alone,Asian Alone,Native Hawaiian and Other Pacific Islander Alone,Other Race Alone,Geo-ID
2463,1738,246,103,108,0,206,27139080100
2744,2302,59,82,147,0,0,27139080201
6092,4964,237,0,616,0,78,27139080202
3740,3200,5,10,407,0,0,27139080204
4621,3962,335,0,176,0,0,27139080206
4390,4032,0,0,291,0,0,27139080207
3436,1531,1297,0,477,0,92,27139080208
4272,3299,70,0,436,0,157,27139080209
5313,3369,1126,0,35,0,487,27139080303
7226,3759,463,0,1786,0,410,27139080304
5790,4584,65,30,814,0,42,27139080305
2954,2572,158,0,201,0,0,27139080306
6591,4147,707,255,703,0,172,27139080307
4638,3338,405,0,386,37,344,27139080400
2840,2517,142,105,5,0,0,27139080500
4412,3318,212,0,215,0,88,27139080600
3677,2905,67,9,145,0,267,27139080700
6267,5682,205,0,62,0,141,27139080801
2066,2030,0,0,4,0,2,27139080802
8935,7121,234,307,431,1,325,27139080903
5579,5308,14,0,51,0,95,27139080905
5195,4965,46,0,8,0,31,27139080906
3349,3181,0,0,97,0,0,27139080907
4637,4111,0,0,219,0,0,27139080908
5030,4632,0,0,336,0,0,27139081001
3596,3483,0,70,43,0,0,27139081002
3018,2941,0,0,37,0,5,27139081101
2196,2130,5,0,11,0,27,27139081102
6231,5953,76,0,68,0,0,27139081103
6736,6167,5,88,184,0,47,27139081200
3286,3114,52,3,93,0,0,27139081301
5881,5598,55,0,9,0,176,27139081302
